S No,Product_Name,Product_Author,Book_Format,Sales_Price,Product_Rating,Genre,State,Region,Date,Cost_Price,Page_Count
70,Only Love Can Hurt Like This,Paige Toon,Digital,8.99,4.5,Sci-Fi,California,West,1/1/2023,6.97,
71,The Seven Moons of Maali Almeida,Shehan Karunatilaka,Paperback,9.99,5,Non Fiction,Nevada,West,1/1/2023,7.74,223
72,The Nightingale,Kristin Hannah,Paperback,9.99,5,Sci-Fi,Massachusetts,Northeast,1/1/2023,7.74,63
73,Confessions of a Forty-Something F**k Up,Alexandra Potter,Digital,8.99,4.5,Comedy,California,West,1/1/2023,6.97,
74,1984 Nineteen Eighty-Four,George Orwell,Paperback,10.1,4.5,Poetry,Texas,South,1/1/2023,7.83,149
75,It Happened One Summer,Tessa Bailey,Paperback,9.99,5,Thriller,Ohio,Midwest,1/1/2023,7.74,179
76,Kick the Latch,Kathryn Scanlan,Paperback,83,4,Thriller,Missouri,Midwest,1/1/2023,64.33,524
77,You and Me on Vacation,Emily Henry,Paperback,8.99,4.5,Thriller,Texas,South,1/1/2023,6.97,151
78,The Black Dog,Kevin Bridges,Paperback,9.99,4,Romance,Ohio,Midwest,1/1/2023,7.74,102
79,Vladimir,Julia May Jonas,Paperback,9.99,4,Thriller,North Carolina,South,1/1/2023,7.74,181
80,A Terrible Kindness,Jo Browning Wroe,Paperback,9.83,5,Fantasy,Virginia,South,1/1/2023,7.62,133
81,The House We Grew Up In,Lisa Jewell,Digital,52,4.5,Fantasy,Massachusetts,Northeast,1/1/2023,40.3,
82,Blood Meridian,Cormac McCarthy,Paperback,9.99,4.5,Comedy,North Carolina,South,1/1/2023,7.74,198
83,Dark Matter,Blake Crouch,Paperback,9.99,4.5,Sci-Fi,Idaho,West,1/1/2023,7.74,120
84,Small Things Like These,Claire Keegan,Audio,8.99,4.5,Poetry,California,West,1/1/2023,6.97,
85,The Song of Achilles,Madeline Miller,Hardcover,9.99,4.5,Fantasy,Massachusetts,Northeast,1/1/2023,7.74,94
86,Oxblood,Tom Benn,Paperback,9.99,4,Thriller,Virginia,South,1/1/2023,7.74,127
87,The No-Show,Beth O'Leary,Paperback,8.99,4.5,Thriller,Washington,West,1/1/2023,6.97,114
88,Winter's Gifts,Ben Aaronovitch,Hardcover,14.9,4,Sci-Fi,Texas,South,1/1/2023,11.55,129
89,Best of Friends,Kamila Shamsie,Paperback,8.99,4,Thriller,California,West,1/1/2023,6.97,145
90,The Midnight House,Amanda Geard,Paperback,9.99,5,Thriller,California,West,1/1/2023,7.74,174
91,One Good Thing,Alexandra Potter,Digital,9.83,4,Thriller,California,West,1/1/2023,7.62,
92,The Wild Silence,Raynor Winn,Digital,10.9,4.5,Sci-Fi,Vermont,Northeast,1/1/2023,8.45,
93,The Unlikely Rise of Harry Sponge,Stephen Mangan,Paperback,7.99,4,Poetry,Massachusetts,Northeast,1/1/2023,6.19,54
94,A Million Kisses In Your Lifetime,Monica Murphy,Paperback,10.4,4.5,Sci-Fi,New York,Northeast,1/1/2023,8.06,121
95,Someone Else's Shoes,Jojo Moyes,Hardcover,22,5,Comedy,Massachusetts,Northeast,1/1/2023,17.05,145
96,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Paperback,9.99,4.5,Thriller,New Jersey,Northeast,1/1/2023,7.74,152
97,Promise Me,Jill Mansell,Paperback,9.99,4,Non Fiction,Georgia,South,1/1/2023,7.74,181
98,The Secret History,Donna Tartt,Paperback,68,4.5,Thriller,North Carolina,South,1/1/2023,52.7,529
99,The Last Party,Clare Mackintosh,Paperback,8.99,4.5,Comedy,Michigan,Midwest,1/1/2023,6.97,109
100,The Familiars,Stacey Halls,Paperback,8.99,4.5,Romance,Texas,South,1/1/2023,6.97,106
101,Circe,Madeline Miller,Paperback,9.99,5,Thriller,Texas,South,1/1/2023,7.74,154
102,Everyone Here is Lying,Shari Lapena,Hardcover,18.9,4,Thriller,Connecticut,Northeast,1/1/2023,14.65,199
103,Harry Potter and the Cursed Child - Parts One and Two,J.K. Rowling,Digital,9.99,4.5,Poetry,California,West,1/1/2023,7.74,
104,Golden Hill,Francis Spufford,Paperback,9.99,4.5,Thriller,California,West,1/1/2023,7.74,141
105,The Three-Body Problem,Cixin Liu,Paperback,63,5,Thriller,Illinois,Midwest,1/1/2023,48.83,491
106,Harry Potter and the Half-Blood Prince,J. K. Rowling,Paperback,8.99,5,Thriller,California,West,1/1/2023,6.97,130
107,Dawnlands,Philippa Gregory,Paperback,9.99,4,Poetry,California,West,1/1/2023,7.74,109
108,The Giver of Stars,Jojo Moyes,Digital,9.99,4.5,Romance,Florida,South,1/1/2023,7.74,
109,Labyrinth,Kate Mosse,Paperback,11,4.5,Thriller,California,West,1/1/2023,8.53,160
110,The Third Wife,Lisa Jewell,Audio,8.99,4.5,Poetry,Washington,West,1/1/2023,6.97,
111,The Island,Victoria Hislop,Paperback,9.99,4.5,Thriller,California,West,1/1/2023,7.74,187
112,Soldier Sailor,Claire Kilroy,Hardcover,16.9,4.5,Sci-Fi,New Jersey,Northeast,1/1/2023,13.1,98
113,No One Saw a Thing,Andrea Mara,Hardcover,14.9,4.5,Thriller,California,West,1/1/2023,11.55,128
114,"Hook, Line, and Sinker",Tessa Bailey,Paperback,9.99,4.5,Thriller,Virginia,South,1/1/2023,7.74,208
115,The Atlas Six,Olivie Blake,Paperback,8.99,4.5,Romance,Michigan,Midwest,1/1/2023,6.97,178
116,The Bullet That Missed,Richard Osman,Hardcover,20,4.5,Thriller,Ohio,Midwest,1/1/2023,15.5,89
118,The Wild Card,Judy Murray,Hardcover,14.9,4,Comedy,New Jersey,Northeast,1/1/2023,11.55,92
119,Young Mungo,Douglas Stuart,Digital,63,4,Sci-Fi,North Carolina,South,1/1/2023,48.83,
120,Our Missing Hearts,Celeste Ng,Paperback,9.99,5,Comedy,California,West,1/1/2023,7.74,142
121,One True Loves,Taylor Jenkins Reid,Paperback,8.99,4.5,Fantasy,California,West,1/1/2023,6.97,155
122,The Sunrise Sisterhood,Cathy Bramley,Paperback,10.4,5,Sci-Fi,California,West,1/1/2023,8.06,157
123,The Fart that Changed the World,Stephen Mangan,Digital,7.99,4.5,Sci-Fi,Arizona,West,1/1/2023,6.19,
124,Firefly Lane,Kristin Hannah,Paperback,9.99,5,Sci-Fi,Arizona,West,1/1/2023,7.74,152
125,It Ends With Us,Colleen Hoover,Hardcover,16.9,4.5,Sci-Fi,Illinois,Midwest,1/1/2023,13.1,116
127,The Whistleblower,Robert Peston,Paperback,9.99,4.5,Comedy,Massachusetts,Northeast,1/1/2023,7.74,192
128,Pandora,Susan Stokes-Chapman,Paperback,8.99,4.5,Thriller,Wyoming,West,1/1/2023,6.97,178
129,A Season for Hope,Rosie Goodwin,Paperback,8.99,4.5,Thriller,Missouri,Midwest,1/1/2023,6.97,175
130,The Bell Jar,Sylvia Plath,Paperback,26,4.5,Poetry,California,West,1/1/2023,20.15,206
131,Sorrow and Bliss,Meg Mason,Paperback,9.99,5,Comedy,Indiana,Midwest,1/1/2023,7.74,131
132,The House in the Cerulean Sea,TJ Klune,Paperback,9.99,4.5,Fantasy,California,West,1/1/2023,7.74,169
133,Fly Away,Kristin Hannah,Paperback,9.99,4.5,Sci-Fi,New Hampshire,Northeast,1/1/2023,7.74,109
134,The Great Gatsby,F. Scott Fitzgerald,Paperback,7.99,4.5,Non Fiction,California,West,1/1/2023,6.19,88
135,The Storm Sister,Lucinda Riley,Paperback,9.99,5,Thriller,California,West,1/1/2023,7.74,189
136,The New Life,Tom Crewe,Hardcover,16.9,4,Sci-Fi,Colorado,West,1/1/2023,13.1,146
137,Big Swiss,Jen Beagin,Hardcover,16.9,5,Poetry,California,West,1/1/2023,13.1,150
138,One Last Secret,Adele Parks,Hardcover,8.99,4.5,Sci-Fi,Michigan,Midwest,1/1/2023,6.97,115
139,The Glass House,Eve Chase,Digital,9.99,4.5,Comedy,California,West,1/1/2023,7.74,
140,The Cuckoo's Calling,Robert Galbraith,Paperback,9.99,4.5,Romance,Florida,South,1/1/2023,7.74,126
141,Maybe in Another Life,Taylor Jenkins Reid,Paperback,8.99,4.5,Poetry,Colorado,West,1/1/2023,6.97,118
142,Apples Never Fall,Liane Moriarty,Paperback,9.99,4.5,Poetry,Nevada,West,1/1/2023,7.74,156
143,The Murders at Fleat House,Lucinda Riley,Paperback,32,4.5,Sci-Fi,Texas,South,1/1/2023,24.8,232
144,Skios,Michael Frayn,Hardcover,7.99,4.5,Thriller,Nebraska,Midwest,1/1/2023,6.19,62
145,Maureen Fry and the Angel of the North,Rachel Joyce,Paperback,8.99,4.5,Sci-Fi,Virginia,South,1/1/2023,6.97,87
146,The Catcher in the Rye,J. D. Salinger,Paperback,9.99,4.5,Romance,South Dakota,Midwest,1/1/2023,7.74,112
147,Mythos,Stephen Fry,Paperback,10.9,5,Poetry,Pennsylvania,Northeast,1/1/2023,8.45,121
148,A Thousand Splendid Suns,Khaled Hosseini,Paperback,9.99,5,Thriller,North Carolina,South,1/1/2023,7.74,164
149,Babel,R.F. Kuang,Hardcover,18.9,4.5,Thriller,Illinois,Midwest,1/1/2023,14.65,150
150,The Romantic,William Boyd,Paperback,10.4,4.5,Poetry,Ohio,Midwest,1/1/2023,8.06,150
151,The It Girl,Ruth Ware,Paperback,8.99,4.5,Thriller,Nevada,West,1/1/2023,6.97,167
152,Dolly's Dream,Dilly Court,Others,8.99,5,Sci-Fi,Washington,West,1/1/2023,6.97,
153,An Italian Island Summer,Sue Moorcroft,Digital,8.99,1.5,Poetry,Florida,South,1/1/2023,6.97,
154,The Bee Sting,Paul Murray,Hardcover,18.9,4,Thriller,California,West,1/1/2023,14.65,139
155,The Life She Wants,J.M. Hewitt,Digital,8.99,5,Sci-Fi,California,West,1/1/2023,6.97,
156,Klara and the Sun,Kazuo Ishiguro,Digital,97,4.5,Non Fiction,California,West,1/1/2023,75.17,
157,Fire and Blood,George R.R. Martin,Paperback,9.99,4.5,Comedy,South Dakota,Midwest,1/1/2023,7.74,140
158,A Gentleman in Moscow,Amor Towles,Paperback,9.99,4.5,Thriller,New Jersey,Northeast,1/1/2023,7.74,192
159,The Garnett Girls,Georgina Moore,Hardcover,14.9,4.5,Thriller,Nevada,West,1/1/2023,11.55,133
160,"The Good, The Bad and The History",Jodi Taylor,Paperback,10.4,4,Sci-Fi,Washington,West,1/1/2023,8.06,128
161,The Cameraman,Matthew Kneale,Hardcover,16.9,4,Thriller,Michigan,Midwest,1/1/2023,13.1,118
162,Black Butterflies,Priscilla Morris,Digital,9.99,5,Fantasy,California,West,1/1/2023,7.74,
163,Romantic Comedy,Curtis Sittenfeld,Hardcover,16.9,4.5,Non Fiction,North Carolina,South,1/1/2023,13.1,154
164,A Secret Cornish Summer,Phillipa Ashley,Paperback,8.99,4.5,Comedy,Pennsylvania,Northeast,1/1/2023,6.97,66
165,"Really Good, Actually",Monica Heisey,Hardcover,14.9,4.5,Poetry,California,West,1/1/2023,11.55,169
166,The Club,Ellery Lloyd,Paperback,8.99,4,Sci-Fi,Minnesota,Midwest,1/1/2023,6.97,150
167,Mother Hens,Sophie McCartney,Hardcover,14.9,4.5,Poetry,Illinois,Midwest,1/1/2023,11.55,106
168,The Good Servant,Fern Britton,Paperback,9.83,5,Non Fiction,New York,Northeast,1/1/2023,7.62,127
169,1984 Nineteen Eighty-Four,George Orwell,Paperback,4.87,5,Thriller,Washington,West,1/1/2023,3.77,74
170,Death and Croissants,Ian Moore,Digital,8.99,4.5,Sci-Fi,California,West,1/1/2023,6.97,
171,An Italian Girl in Brooklyn,Santa Montefiore,Paperback,8.99,4,Sci-Fi,South Dakota,Midwest,1/1/2023,6.97,177
172,The Wedding Party,Cathy Kelly,Paperback,9.99,4,Non Fiction,Illinois,Midwest,1/1/2023,7.74,119
173,Bad Summer People,Emma Rosenblum,Hardcover,16.9,4.5,Fantasy,Texas,South,1/1/2023,13.1,129
174,The Missing Sister,Lucinda Riley,Paperback,9.99,4.5,Sci-Fi,Arizona,West,1/1/2023,7.74,132
175,The Perks of Being a Wallflower,Stephen Chbosky,Paperback,8.99,4.5,Thriller,California,West,1/1/2023,6.97,93
176,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Hardcover,22,4,Poetry,Florida,South,1/1/2023,17.05,180
177,Harry Potter and the Philosopher's Stone,J. K. Rowling,Hardcover,16.9,5,Comedy,Pennsylvania,Northeast,1/1/2023,13.1,143
178,Lessons in Chemistry,Bonnie Garmus,Hardcover,16.9,4.5,Thriller,California,West,1/1/2023,13.1,84
179,The Shadow Sister,Lucinda Riley,Hardcover,9.99,4.5,Sci-Fi,Illinois,Midwest,1/1/2023,7.74,101
180,Three Sisters,Heather Morris,Paperback,8.99,4.5,Sci-Fi,New York,Northeast,1/1/2023,6.97,78
181,Pineapple Street,Jenny Jackson,Hardcover,14.9,4.5,Poetry,New Jersey,Northeast,1/1/2023,11.55,62
182,Bridgerton: Romancing Mr Bridgerton (Bridgertons Book 4),Julia Quinn,Paperback,9.99,4.5,Comedy,North Dakota,Midwest,1/1/2023,7.74,128
183,The Challenge,Danielle Steel,Paperback,9.43,4.5,Thriller,Pennsylvania,Northeast,1/1/2023,7.31,105
184,Fahrenheit 451,Ray Bradbury,Paperback,8.99,4.5,Poetry,California,West,1/1/2023,6.97,155
185,Little Wing,Freya North,Paperback,8.99,4.5,Sci-Fi,California,West,1/1/2023,6.97,177
186,No Longer Human,Osamu Dazai,Paperback,10.9,4.5,Thriller,Florida,South,1/1/2023,8.45,152
187,Black Cake,Charmaine Wilkerson,Paperback,10.2,5,Romance,California,West,1/1/2023,7.9,145
188,The Dead Romantics,Ashley Poston,Paperback,8.99,5,Poetry,Missouri,Midwest,1/1/2023,6.97,113
189,Wait for Me,Santa Montefiore,Hardcover,16.9,4.5,Thriller,California,West,1/1/2023,13.1,162
190,With a Mind to Kill,Anthony Horowitz,Paperback,8.99,4.5,Thriller,California,West,1/1/2023,6.97,174
191,"Bridgerton: To Sir Phillip, With Love (Bridgertons Book 5)",Julia Quinn,Paperback,9.99,4.5,Thriller,California,West,1/1/2023,7.74,166
192,Homecoming,Kate Morton,Hardcover,20,4.5,Fantasy,New Hampshire,Northeast,1/1/2023,15.5,98
193,Sea of Tranquility,Emily St. John Mandel,Paperback,9.99,4,Fantasy,California,West,1/1/2023,7.74,203
194,In Memoriam,Alice Winn,Hardcover,14.9,4.5,Thriller,Illinois,Midwest,1/1/2023,11.55,149
195,The Silkworm,Robert Galbraith,Digital,10.4,4.5,Thriller,Louisiana,South,1/1/2023,8.06,
196,Rachel's Holiday,Marian Keyes,Paperback,9.99,4.5,Comedy,Massachusetts,Northeast,1/1/2023,7.74,198
197,The Trees,Percival Everett,Paperback,92,4.5,Non Fiction,California,West,1/1/2023,71.3,568
198,"Red, White & Royal Blue",Casey McQuiston,Paperback,8.99,5,Thriller,Missouri,Midwest,1/1/2023,6.97,190
199,The Ocean at the End of the Lane,Neil Gaiman,Paperback,99,5,Non Fiction,California,West,1/1/2023,76.73,545
200,The Kite Runner,Khaled Hosseini,Others,9.99,5,Poetry,California,West,1/1/2023,7.74,
201,The Pillars of the Earth,Ken Follett,Digital,12.9,5,Thriller,California,West,1/1/2023,10,
202,The Sanctuary,Andrew Hunter Murray,Paperback,10.4,4,Poetry,California,West,1/1/2023,8.06,101
203,"Beautiful World, Where Are You",Sally Rooney,Paperback,8.99,4.5,Sci-Fi,Nebraska,Midwest,1/1/2023,6.97,107
204,Foster,Claire Keegan,Paperback,8.99,5,Comedy,California,West,1/1/2023,6.97,119
205,Seven Days in June,Tia Williams,Hardcover,60,5,Romance,Washington,West,1/1/2023,46.5,435
206,Credence,Penelope Douglas,Paperback,19.6,4.5,Thriller,California,West,1/1/2023,15.19,244
207,Memphis,Tara M. Stringfellow,Paperback,75,4,Thriller,South Dakota,Midwest,1/1/2023,58.12,358
208,The Heart's Invisible Furies,John Boyne,Paperback,91,5,Poetry,Ohio,Midwest,1/1/2023,70.53,620
209,The Prophet and the Idiot,Jonas Jonasson,Paperback,8.99,4,Comedy,New Jersey,Northeast,1/1/2023,6.97,118
210,For Thy Great Pain Have Mercy On My Little Pain,Victoria MacKenzie,Hardcover,14.9,4.5,Comedy,California,West,1/1/2023,11.55,137
211,Wuthering Heights,Emily Bronte,Paperback,3.99,4.5,Sci-Fi,Pennsylvania,Northeast,1/1/2023,3.09,87
212,The Dictionary of Lost Words,Pip Williams,Paperback,9.99,5,Poetry,Missouri,Midwest,1/1/2023,7.74,209
213,Tom Gates 19: Random Acts of Fun (pb),Liz Pichon,Paperback,7.99,4.5,Thriller,California,West,1/1/2023,6.19,190
214,The Wedding Dress Repair Shop,Trisha Ashley,Hardcover,14.9,5,Comedy,Missouri,Midwest,1/1/2023,11.55,173
215,The Last Summer,Karen Swan,Paperback,9.83,4.5,Fantasy,Florida,South,1/1/2023,7.62,153
216,The Color Purple,Alice Walker,Paperback,9.99,4.5,Fantasy,California,West,1/1/2023,7.74,152
217,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Paperback,5.47,4.5,Thriller,California,West,1/1/2023,4.24,67
218,The Handmaid's Tale,Margaret Atwood,Paperback,9.99,5,Sci-Fi,California,West,1/1/2023,7.74,151
219,The Road Trip,Beth O'Leary,Paperback,8.99,4.5,Fantasy,New York,Northeast,1/1/2023,6.97,190
220,Brave New World,Aldous Huxley,Paperback,9.99,4.5,Comedy,Florida,South,1/1/2023,7.74,186
221,The Road,Cormac McCarthy,Paperback,10.1,4.5,Romance,Illinois,Midwest,1/1/2023,7.83,105
222,Throttled Special Edition,Lauren Asher,Paperback,15.4,4.5,Thriller,Arizona,West,1/1/2023,11.94,100
223,Animal Farm,George Orwell,Paperback,4.87,4.5,Comedy,Pennsylvania,Northeast,1/1/2023,3.77,126
224,Nemesis,Wilbur Smith,Hardcover,22,4,Sci-Fi,Florida,South,1/1/2023,17.05,141
225,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Hardcover,16.9,4.5,Poetry,New Hampshire,Northeast,1/1/2023,13.1,111
226,Tidelands,Philippa Gregory,Hardcover,8.99,4.5,Non Fiction,Idaho,West,1/1/2023,6.97,132
227,Maybe Now,Colleen Hoover,Paperback,8.99,4.5,Sci-Fi,Michigan,Midwest,1/1/2023,6.97,167
228,This is How You Lose the Time War,Amal El-Mohtar,Paperback,10.9,4.5,Thriller,Washington,West,1/1/2023,8.45,109
229,Songbirds,Christy Lefteri,Paperback,8.99,4.5,Fantasy,Florida,South,1/1/2023,6.97,145
230,The Mandelbaum Gate,Muriel Spark,Audio,9.99,4,Comedy,New Jersey,Northeast,1/1/2023,7.74,
231,French Braid,Anne Tyler,Digital,9.99,4.5,Fantasy,Florida,South,1/1/2023,7.74,
232,Rebellion (Eagles of Empire 22),Simon Scarrow,Hardcover,22,4,Thriller,Ohio,Midwest,1/1/2023,17.05,190
233,Summer at the Ice Cream Cafe,Jo Thomas,Paperback,8.36,5,Sci-Fi,California,West,1/1/2023,6.48,166
234,Great Expectations,Charles Dickens,Paperback,3.99,4.5,Sci-Fi,Michigan,Midwest,1/1/2023,3.09,67
235,Animal Farm,George Orwell,Paperback,5.47,4.5,Poetry,California,West,1/1/2023,4.24,98
236,"Together, Again",Milly Johnson,Paperback,8.99,4.5,Comedy,Ohio,Midwest,1/1/2023,6.97,120
237,Never Let Me Go,Kazuo Ishiguro,Paperback,9.99,4.5,Poetry,Connecticut,Northeast,1/1/2023,7.74,152
